Original.Sample.Name,Sample.Name,GroupLevel1,GroupLevel2,GroupLevel3,Replicate,Biol.Rep,Sample.Number,Concentration,DilutionFactor,DilutionReference,Tracer
Biosample-(GxtoGx)_4G__G7Q2_R4 (2) | Sample Number=151,(GxtoGx)_4G__G7Q2_R4,G7Q2,,,1,4,151,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G9Q2_R1 (2) | Sample Number=140,(GxtoGx)_4G__G9Q2_R1,G9Q2,,,1,1,140,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G9Q2_R2 (2) | Sample Number=144,(GxtoGx)_4G__G9Q2_R2,G9Q2,,,1,2,144,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G9Q2_R3 (2) | Sample Number=148,(GxtoGx)_4G__G9Q2_R3,G9Q2,,,1,3,148,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G9Q2_R4 (2) | Sample Number=152,(GxtoGx)_4G__G9Q2_R4,G9Q2,,,1,4,152,0,1,,13C-Glc
Biosample-(GxtoGx)_5G__G2.5Q2_R1 (2) | Sample Number=153,(GxtoGx)_5G__G2.5Q2_R1,G2.5Q2,,,1,1,153,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G2.5Q2_R2 (2) | Sample Number=157,(GxtoGx)_5G__G2.5Q2_R2,G2.5Q2,,,1,2,157,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G2.5Q2_R3 (2) | Sample Number=161,(GxtoGx)_5G__G2.5Q2_R3,G2.5Q2,,,1,3,161,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G2.5Q2_R4 (2) | Sample Number=165,(GxtoGx)_5G__G2.5Q2_R4,G2.5Q2,,,1,4,165,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G5Q2_R1 (2) | Sample Number=154,(GxtoGx)_5G__G5Q2_R1,G5Q2,,,1,1,154,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G5Q2_R2 (2) | Sample Number=158,(GxtoGx)_5G__G5Q2_R2,G5Q2,,,1,2,158,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G5Q2_R3 (2) | Sample Number=162,(GxtoGx)_5G__G5Q2_R3,G5Q2,,,1,3,162,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G5Q2_R4 (2) | Sample Number=166,(GxtoGx)_5G__G5Q2_R4,G5Q2,,,1,4,166,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G7Q2_R1 (2) | Sample Number=155,(GxtoGx)_5G__G7Q2_R1,G7Q2,,,1,1,155,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G7Q2_R2 (2) | Sample Number=159,(GxtoGx)_5G__G7Q2_R2,G7Q2,,,1,2,159,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G7Q2_R3 (2) | Sample Number=163,(GxtoGx)_5G__G7Q2_R3,G7Q2,,,1,3,163,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G7Q2_R4 (2) | Sample Number=167,(GxtoGx)_5G__G7Q2_R4,G7Q2,,,1,4,167,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G9Q2_R1 (2) | Sample Number=156,(GxtoGx)_5G__G9Q2_R1,G9Q2,,,1,1,156,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G9Q2_R2 (2) | Sample Number=160,(GxtoGx)_5G__G9Q2_R2,G9Q2,,,1,2,160,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G9Q2_R3 (2) | Sample Number=164,(GxtoGx)_5G__G9Q2_R3,G9Q2,,,1,3,164,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G9Q2_R4 (2) | Sample Number=168,(GxtoGx)_5G__G9Q2_R4,G9Q2,,,1,4,168,0,1,,5-13C-Glc
Biosample-(GxtoGx)_12Q__G2.5Q2_R1 (2) | Sample Number=169,(GxtoGx)_12Q__G2.5Q2_R1,G2.5Q2,,,1,1,169,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G2.5Q2_R2 (2) | Sample Number=173,(GxtoGx)_12Q__G2.5Q2_R2,G2.5Q2,,,1,2,173,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G2.5Q2_R3 (2) | Sample Number=177,(GxtoGx)_12Q__G2.5Q2_R3,G2.5Q2,,,1,3,177,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G2.5Q2_R4 (2) | Sample Number=181,(GxtoGx)_12Q__G2.5Q2_R4,G2.5Q2,,,1,4,181,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G5Q2_R1 (2) | Sample Number=170,(GxtoGx)_12Q__G5Q2_R1,G5Q2,,,1,1,170,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G5Q2_R2 (2) | Sample Number=174,(GxtoGx)_12Q__G5Q2_R2,G5Q2,,,1,2,174,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G5Q2_R3 (2) | Sample Number=178,(GxtoGx)_12Q__G5Q2_R3,G5Q2,,,1,3,178,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G5Q2_R4 (2) | Sample Number=182,(GxtoGx)_12Q__G5Q2_R4,G5Q2,,,1,4,182,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G7Q2_R1 (2) | Sample Number=171,(GxtoGx)_12Q__G7Q2_R1,G7Q2,,,1,1,171,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G7Q2_R2 (2) | Sample Number=175,(GxtoGx)_12Q__G7Q2_R2,G7Q2,,,1,2,175,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G7Q2_R3 (2) | Sample Number=179,(GxtoGx)_12Q__G7Q2_R3,G7Q2,,,1,3,179,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G7Q2_R4 (2) | Sample Number=183,(GxtoGx)_12Q__G7Q2_R4,G7Q2,,,1,4,183,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G9Q2_R1 (2) | Sample Number=172,(GxtoGx)_12Q__G9Q2_R1,G9Q2,,,1,1,172,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G9Q2_R2 (2) | Sample Number=176,(GxtoGx)_12Q__G9Q2_R2,G9Q2,,,1,2,176,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G9Q2_R3 (2) | Sample Number=180,(GxtoGx)_12Q__G9Q2_R3,G9Q2,,,1,3,180,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G9Q2_R4 (2) | Sample Number=184,(GxtoGx)_12Q__G9Q2_R4,G9Q2,,,1,4,184,0,1,,13CGln
Blk (3) | Sample Number=242,Blk,std,,,1,,242,0,,,
Std1-50uM (2) | Sample Number=233,Std1,std,,,1,,233,50,,,
Std2 (5) | Sample Number=234,Std2,std,,,1,,234,25,,,
Std3 (2) | Sample Number=235,Std3,std,,,1,,235,12.5,,,
Std4 (2) | Sample Number=236,Std4,std,,,1,,236,6.25,,,
Std5 (2) | Sample Number=237,Std5,std,,,1,,237,3.125,,,
Std6 (2) | Sample Number=238,Std6,std,,,1,,238,1.5625,,,
Std7 (2) | Sample Number=239,Std7,std,,,1,,239,0.78125,,,
Std8 (2) | Sample Number=240,Std8,std,,,1,,240,0.390625,,,
Std9 (2) | Sample Number=241,Std9,std,,,1,,241,0.1953125,,,
