Original.Sample.Name,Sample.Name,GroupLevel1,GroupLevel2,GroupLevel3,Replicate,Biol.Rep,Sample.Number,Concentration,DilutionFactor,DilutionReference,Tracer
Biosample-(GxtoGx)_12Q__G7Q2_R1 | Sample Number=50,(GxtoGx)_12Q__G7Q2_R1,G7Q2,,,1,1,50,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G7Q2_R2 | Sample Number=54,(GxtoGx)_12Q__G7Q2_R2,G7Q2,,,1,2,54,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G7Q2_R3 | Sample Number=58,(GxtoGx)_12Q__G7Q2_R3,G7Q2,,,1,3,58,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G7Q2_R4 | Sample Number=62,(GxtoGx)_12Q__G7Q2_R4,G7Q2,,,1,4,62,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G9Q2_R1 | Sample Number=51,(GxtoGx)_12Q__G9Q2_R1,G9Q2,,,1,1,51,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G9Q2_R2 | Sample Number=55,(GxtoGx)_12Q__G9Q2_R2,G9Q2,,,1,2,55,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G9Q2_R3 | Sample Number=59,(GxtoGx)_12Q__G9Q2_R3,G9Q2,,,1,3,59,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G9Q2_R4 | Sample Number=63,(GxtoGx)_12Q__G9Q2_R4,G9Q2,,,1,4,63,0,1,,13CGln
Blk | Sample Number=121,Blk,std,,,1,,121,0,,,
Std1-50uM | Sample Number=112,Std1,std,,,1,,112,50,,,
Std2 (3) | Sample Number=113,Std2,std,,,1,,113,25,,,
Std3 | Sample Number=114,Std3,std,,,1,,114,12.5,,,
Std4 | Sample Number=115,Std4,std,,,1,,115,6.25,,,
Std5 | Sample Number=116,Std5,std,,,1,,116,3.125,,,
Std6 | Sample Number=117,Std6,std,,,1,,117,1.5625,,,
Std7 | Sample Number=118,Std7,std,,,1,,118,0.78125,,,
Std8 | Sample Number=119,Std8,std,,,1,,119,0.390625,,,
